,cluster_id,momentum
BALY,135,0.0167088607594936
BAM,1479,0.0056513979773944
BANC,1593,-0.0193732193732193
BAND,1612,-0.0012578616352201
BANF,1021,-0.0175069252077562
BANR,94,-0.0026992696093997
BAP,1751,0.0250353162768797
BATRK,138,0.0149387511204064
BAX,196,-0.0082603254067585
BB,1,0.0180412371134022
BBDC,14,-0.0196078431372549
BBSI,1675,-0.0537612002500521
BBVA,1637,-0.0077319587628865
BBW,1106,-0.0143198090692124
BBWI,1633,-0.0269146072914117
BBY,1071,-0.0279148116953434
BC,1994,0.0110958590711507
BCC,3,-0.0015916654608595
BCO,1154,0.0251340996168583
BCOV,1576,-0.0726256983240223
BCPC,1555,0.0089230769230768
BCRX,1257,0.0011299435028249
BCS,329,-0.016548463356974
BCSF,248,0.0208333333333332
BDN,65,-0.0016977928692699
BDX,1882,-0.0025154551268385
BE,1739,-0.0004610419548179
BECN,1024,0.0109230769230768
BEN,1040,-0.0139124533423821
BEP,1261,0.0256508422664623
BERY,1695,0.022061191626409
BFAM,1179,0.058980213089802
BFC,1788,-0.0233043051637434
BFH,1592,-0.0187484782079377
BFIN,230,0.0058309037900874
BFS,1899,0.0305188199389623
BFST,52,-0.0369481765834932
BG,1701,0.0215706806282722
BGNE,1109,0.0698259359836175
BGS,1690,0.2328334648776637
NTRS,34,-0.0243518421328854
BHB,1174,0.005021760964178
BHC,1597,-0.0064446831364125
BHE,31,0.0046237915090374
BHF,1516,-0.0006916825177243
BHK,1810,-0.0183823529411765
BHLB,1852,-0.0165175498967653
BHP,101,0.0662620961128424
BIDU,1559,0.0910741520807609
BIG,963,0.0111498257839721
BIIB,1886,-0.0041132439042467
BIOX,108,0.0
BIP,1412,0.010299909118449
BJRI,149,0.025625
BK,34,-0.013561320754717
BKNG,184,0.0213272583201267
BKR,108,0.0362745098039214
BL,1834,0.0174078408425979
BLBD,1598,0.0654849827671097
BLD,219,-0.0064550315525796
BLDP,1668,-0.0369068541300526
BLDR,1784,0.0226468506723283
